"filename", "language", "SQL", "HTML", "Markdown", "JavaScript", "PHP", "CSS", "comment", "blank", "total"
"d:\xampp\htdocs\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\xampp\htdocs\VLib.session.sql", "SQL", 67, 0, 0, 0, 0, 0, 5, 0, 72
"d:\xampp\htdocs\autocorrect(brokenaf).js", "JavaScript", 0, 0, 0, 48, 0, 0, 0, 13, 61
"d:\xampp\htdocs\contacts.html", "HTML", 0, 91, 0, 0, 0, 0, 1, 10, 102
"d:\xampp\htdocs\index.css", "CSS", 0, 0, 0, 0, 0, 552, 25, 124, 701
"d:\xampp\htdocs\index.html", "HTML", 0, 167, 0, 0, 0, 0, 1, 21, 189
"d:\xampp\htdocs\index.js", "JavaScript", 0, 0, 0, 15, 0, 0, 1, 1, 17
"d:\xampp\htdocs\login.html", "HTML", 0, 176, 0, 0, 0, 0, 1, 41, 218
"d:\xampp\htdocs\process-login.php", "PHP", 0, 0, 0, 0, 31, 0, 2, 6, 39
"d:\xampp\htdocs\process-signup.php", "PHP", 0, 0, 0, 0, 20, 0, 2, 7, 29
"d:\xampp\htdocs\rspapers\Antibacterial-Activity-of-Water-Hyacinth-Leaf-Extract-Stabilized-Silver-Nanoparticles.html", "HTML", 0, 142, 0, 0, 0, 0, 1, 10, 153
"d:\xampp\htdocs\rspapers\Assisting-library-users-through-VLib-Virtual-Library.html", "HTML", 0, 126, 0, 0, 0, 0, 1, 10, 137
"d:\xampp\htdocs\rspapers\Crude-Extract-from-Waste-Crab-Scylla-Serrata-Shells-as-a-Constituent-to-Textile-Paint.html", "HTML", 0, 134, 0, 0, 0, 0, 1, 10, 145
"d:\xampp\htdocs\rspapers\Incorporating-Cymbopogon-and-Ocimum-basilicum-Extracts-in-Creating-Antimicrobial-Coating-for-Cotton-Cloth.html", "HTML", 0, 138, 0, 0, 0, 0, 1, 10, 149
"d:\xampp\htdocs\rspapers\JADE-Jeepney-Assistant-Driver-Electronic.html", "HTML", 0, 126, 0, 0, 0, 0, 1, 10, 137
"d:\xampp\htdocs\rspapers\PCSHS-EduLibrary-Digital-Catalog-Website-for-Students-and-Teachers-of-Pasig-City-Science-High-School.html", "HTML", 0, 125, 0, 0, 0, 0, 1, 7, 133
"d:\xampp\htdocs\rspapers\Storage-Life-Extension-of-Tomato-Solanum-Lycopersium-and-Mango-Magnifera-Indica-using-UV-C-Radiation-Treatment.html", "HTML", 0, 125, 0, 0, 0, 0, 1, 7, 133
"d:\xampp\htdocs\rspapers\The-Effectiveness-of-Foliar-Application-of-Kappaphycus-Alvarezii-Guso-Crude-Solution-to-the-Growth-of-Allium-Cepa-Onion.html", "HTML", 0, 127, 0, 0, 0, 0, 1, 10, 138
"d:\xampp\htdocs\rspapers\The-Utilization-of-Paper-Waste-Charcoal-in-a-Steam-Powered-Electric-Generator.html", "HTML", 0, 140, 0, 0, 0, 0, 1, 10, 151
"d:\xampp\htdocs\signup.html", "HTML", 0, 228, 0, 0, 0, 0, 1, 53, 282
"d:\xampp\htdocs\vlibchatbot.html", "HTML", 0, 102, 0, 0, 0, 0, 2, 10, 114
"Total", "-", 67, 1947, 1, 63, 51, 552, 50, 371, 3102
